site,plot,time,transect,length_1h,length_10h,length_100h,length_1000h,count_1h,count_10h,count_100h,duff_depth_cm,litter_depth_cm,sum_d2_1000r_cm2,sum_d2_1000s_cm2,slope
40,7,2001,224,1.83,1.83,3.05,11.34,47,4,0,4.5,3.5,0,0,0
40,7,2001,336,1.83,1.83,3.05,11.34,32,5,1,4,3.5,421,0,0
40,2,2001,129,1.83,1.83,3.05,11.34,32,6,0,3.5,3,196,0,0
40,2,2001,190,1.83,1.83,3.05,11.34,35,5,1,2,2,361,0,0
40,3,2001,228,1.83,1.83,3.05,11.34,5,0,1,1.5,2.5,565,0,0
40,3,2001,296,1.83,1.83,3.05,11.34,4,0,0,1,3.5,121,0,0
40,5,2001,93,1.83,1.83,3.05,11.34,7,2,1,9.5,3.5,529,0,0
40,5,2001,272,1.83,1.83,3.05,11.34,5,3,1,7,3,202,0,0
60,101,2001,86,1.83,1.83,3.05,11.34,27,4,0,7.5,3.5,144,0,0
60,101,2001,216,1.83,1.83,3.05,11.34,22,5,3,6,2.5,676,81,0
60,102,2001,71,1.83,1.83,3.05,11.34,14,4,4,8,4,121,0,0
60,102,2001,347,1.83,1.83,3.05,11.34,10,5,5,7.5,5,144,0,0
60,27,2001,34,1.83,1.83,3.05,11.34,34,12,3,1.5,0.5,81,0,0
60,27,2001,175,1.83,1.83,3.05,11.34,42,27,3,2.5,2.5,0,289,0
60,21,2001,143,1.83,1.83,3.05,11.34,51,15,0,5,3.5,0,225,0
60,21,2001,350,1.83,1.83,3.05,11.34,30,5,1,4,2,529,0,0
40,5,2003,93,1.83,1.83,3.05,11.34,4,6,2,5.5,6.5,625,0,0
40,5,2003,272,1.83,1.83,3.05,11.34,4,14,6,4.5,3.5,461,0,0
40,7,2003,167,1.83,1.83,3.05,11.34,27,1,0,3,1,0,0,0
40,7,2003,332,1.83,1.83,3.05,11.34,29,4,2,5,2,169,196,0
40,2,2003,129,1.83,1.83,3.05,11.34,74,12,1,2,2,121,0,0
40,2,2003,190,1.83,1.83,3.05,11.34,29,11,0,0.5,2,306,0,0
40,3,2003,228,1.83,1.83,3.05,11.34,11,0,1,5.5,2,1407,0,0
40,3,2003,296,1.83,1.83,3.05,11.34,17,0,1,2,1.5,100,0,0
60,27,2003,34,1.83,1.83,3.05,11.34,11,17,2,0,1,0,625,0
60,27,2003,175,1.83,1.83,3.05,11.34,1,0,1,0,0,0,0,0
60,21,2003,143,1.83,1.83,3.05,11.34,11,1,0,1,0.25,0,0,0
60,21,2003,350,1.83,1.83,3.05,11.34,19,2,2,1,0,0,0,0
60,101,2003,86,1.83,1.83,3.05,11.34,11,0,1,0,0,0,0,0
60,101,2003,216,1.83,1.83,3.05,11.34,9,0,1,1.5,0,0,0,0
60,102,2003,71,1.83,1.83,3.05,11.34,15,10,9,1.5,0.5,0,1646,0
60,102,2003,347,1.83,1.83,3.05,11.34,21,8,5,0.75,0.5,0,1771,0
40,2,2009,129,2,2,3,11.3,74,11,0,3.5,0,0,0,0
40,2,2009,190,2,2,3,11.3,33,12,1,4,1,0,0,0
40,3,2009,228,2,2,3,11.3,42,4,1,5.5,2.5,929,0,0
40,3,2009,296,2,2,3,11.3,1,0,0,3.5,1,0,0,0
40,5,2009,93,2,2,3,11.3,8,8,0,5,5.5,225,0,0
40,5,2009,272,2,2,3,11.3,4,1,2,5.5,5.5,0,0,0
40,7,2009,167,2,2,3,11.3,16,8,1,7,1.5,0,0,0
40,7,2009,332,2,2,3,11.3,20,14,1,6,1,221,121,0
60,21,2009,143,2,2,3,11.3,11,12,2,0,2.5,2452,785,0
60,21,2009,350,2,2,3,11.3,18,17,1,0.5,1.5,0,400,0
60,27,2009,34,2,2,3,11.3,13,9,0,0.5,0.5,0,0,0
60,27,2009,175,2,2,3,11.3,13,3,1,1,1,0,0,0
60,101,2009,71,2,2,3,11.3,21,2,0,0,1,0,0,0
60,101,2009,216,2,2,3,11.3,8,4,0,0,1.5,0,0,0
60,102,2009,71,2,2,3,11.3,10,6,0,0,0,392,1000,0
60,102,2009,347,2,2,3,11.3,13,9,5,0.5,0.5,3602,962,0
