letter_code,fia_code,decay_class,decay_ratio
ABCO,15,1,0.996
ABCO,15,2,0.873
ABCO,15,3,0.625
ABCO,15,4,0.625
ABCO,15,5,0.541
ABGR,17,1,1.013
ABGR,17,2,0.966
ABGR,17,3,0.855
ABGR,17,4,0.855
ABGR,17,5,0.574
ABMA,20,1,1.04
ABMA,20,2,1.08
ABMA,20,3,0.626
ABMA,20,4,0.626
ABMA,20,5,0.467
ABPR,22,1,1.035
ABPR,22,2,0.836
ABPR,22,3,0.845
ABPR,22,4,0.845
ABPR,22,5,0.575
JUOC,64,1,0.994
JUOC,64,2,0.951
JUOC,64,3,0.902
JUOC,64,4,0.902
JUOC,64,5,0.605
CADE,81,1,0.936
CADE,81,2,0.94
CADE,81,3,0.668
CADE,81,4,0.668
CADE,81,5,0.525
PICO,108,1,0.98
PICO,108,2,1.04
PICO,108,3,1.02
PICO,108,4,1.02
PICO,108,5,0.727
PIJE,116,1,0.904
PIJE,116,2,0.96
PIJE,116,3,0.883
PIJE,116,4,0.883
PIJE,116,5,0.645
PILA,117,1,1.04
PILA,117,2,0.906
PILA,117,3,0.735
PILA,117,4,0.735
PILA,117,5,0.517
PIMO,119,1,0.953
PIMO,119,2,0.95
PIMO,119,3,0.927
PIMO,119,4,0.927
PIMO,119,5,0.598
PIPO,122,1,0.925
PIPO,122,2,1.007
PIPO,122,3,1.154
PIPO,122,4,1.154
PIPO,122,5,0.481
PISA,127,1,0.953
PISA,127,2,0.95
PISA,127,3,0.927
PISA,127,4,0.927
PISA,127,5,0.598
PSME,202,1,0.892
PSME,202,2,0.831
PSME,202,3,0.591
PSME,202,4,0.591
PSME,202,5,0.433
SESE,211,1,0.994
SESE,211,2,0.951
SESE,211,3,0.902
SESE,211,4,0.902
SESE,211,5,0.605
SEGI,212,1,0.994
SEGI,212,2,0.951
SEGI,212,3,0.902
SEGI,212,4,0.902
SEGI,212,5,0.605
TABR,231,1,0.994
TABR,231,2,0.951
TABR,231,3,0.902
TABR,231,4,0.902
TABR,231,5,0.605
TOCA,251,1,0.994
TOCA,251,2,0.951
TOCA,251,3,0.902
TOCA,251,4,0.902
TOCA,251,5,0.605
TSHE,263,1,0.9
TSHE,263,2,0.83
TSHE,263,3,0.661
TSHE,263,4,0.661
TSHE,263,5,0.38
TSME,264,1,0.953
TSME,264,2,0.882
TSME,264,3,0.906
TSME,264,4,0.906
TSME,264,5,0.604
UNCO,298,1,0.97
UNCO,298,2,1
UNCO,298,3,0.92
UNCO,298,4,0.92
UNCO,298,5,0.55
ACMA,312,1,0.979
ACMA,312,2,0.766
ACMA,312,3,0.565
ACMA,312,4,0.565
ACMA,312,5,0.45
ALRH,352,1,1.03
ALRH,352,2,0.903
ALRH,352,3,0.535
ALRH,352,4,0.535
ALRH,352,5,0.393
ARME,361,1,0.982
ARME,361,2,0.793
ARME,361,3,0.618
ARME,361,4,0.618
ARME,361,5,0.525
CHCH,431,1,0.99
CHCH,431,2,0.8
CHCH,431,3,0.54
CHCH,431,4,0.54
CHCH,431,5,0.43
CONU,492,1,0.982
CONU,492,2,0.793
CONU,492,3,0.618
CONU,492,4,0.618
CONU,492,5,0.525
NODE,631,1,0.982
NODE,631,2,0.793
NODE,631,3,0.618
NODE,631,4,0.618
NODE,631,5,0.525
POTR,746,1,0.97
POTR,746,2,0.75
POTR,746,3,0.54
POTR,746,4,0.54
POTR,746,5,0.613
QUAG,801,1,1.02
QUAG,801,2,0.841
QUAG,801,3,0.705
QUAG,801,4,0.705
QUAG,801,5,0.591
QUCH,805,1,1.02
QUCH,805,2,0.841
QUCH,805,3,0.705
QUCH,805,4,0.705
QUCH,805,5,0.591
QUKE,818,1,1.02
QUKE,818,2,0.841
QUKE,818,3,0.705
QUKE,818,4,0.705
QUKE,818,5,0.591
SASP,920,1,0.982
SASP,920,2,0.793
SASP,920,3,0.618
SASP,920,4,0.618
SASP,920,5,0.525
UMCA,981,1,0.982
UMCA,981,2,0.793
UMCA,981,3,0.618
UMCA,981,4,0.618
UMCA,981,5,0.525
UNHA,998,1,0.99
UNHA,998,2,0.8
UNHA,998,3,0.54
UNHA,998,4,0.54
UNHA,998,5,0.43
UNTR,999,1,0.97
UNTR,999,2,0.97
UNTR,999,3,0.86
UNTR,999,4,0.86
UNTR,999,5,0.53
