species,type,JENKINS_SPGRPCD,WDSG,k,DensProp
15,S,3,0.37,9,0.92
17,S,3,0.35,9,0.92
20,S,3,0.36,9,0.92
22,S,3,0.37,9,0.92
64,S,1,0.45,9,0.92
81,S,1,0.35,9,0.92
108,S,4,0.38,9,0.92
116,S,4,0.37,9,0.92
117,S,4,0.34,9,0.92
119,S,4,0.36,9,0.92
122,S,4,0.38,9,0.92
127,S,4,0.4,9,0.92
202,S,2,0.45,9,0.92
211,S,1,0.36,9,0.92
212,S,1,0.34,9,0.92
231,S,3,0.6,9,0.92
251,S,3,0.41,9,0.92
263,S,3,0.42,9,0.92
264,S,3,0.42,9,0.92
299,S,4,0.41,9,0.92
312,H,7,0.44,11,0.54
352,H,6,0.37,11,0.54
361,H,8,0.58,11,0.54
431,H,8,0.42,11,0.54
492,H,8,0.58,11,0.54
631,H,8,0.58,11,0.54
746,H,6,0.35,11,0.54
801,H,9,0.59,11,0.54
805,H,9,0.7,11,0.54
818,H,9,0.51,11,0.54
920,H,6,0.36,11,0.54
981,H,8,0.51,11,0.54
998,H,8,0.52,11,0.54
999,H,8,0.52,11,0.54
316,H,7,0.49,11,0.54
802,H,9,0.6,11,0.54
800,H,9,0.59,11,0.54
